x0,x1,y
1552.2489067209308,229.73771601735606,2
2809.0349328821158,5149.876597107249,4
-69.07741285869021,-65.65082666695106,0
790.7935330213141,745.2307964671215,3
224.33239465400433,725.6595023426216,0
1025.13482964768,1009.5848434846955,3
352.2639604476214,1045.8510627233613,3
-160.16175592298075,295.33062109234004,0
145.46945744937267,-214.31821908276123,0
-18.586591741263888,162.88005799825407,0
113.84444842840895,72.13586439514162,0
1088.0549904897412,342.9082753150234,2
1150.114090526772,140.27793207838806,3
1176.266101252348,-524.4054332070045,2
-99.91342994662294,-27.94037917381705,1
3048.1075552282277,5032.483717460225,4
-10.869039609203902,-50.68245191943089,0
412.8726618248442,771.1008359750105,3
889.729630056544,314.008754269914,2
1133.6863769193162,143.4436349608938,2
1109.5818769575817,334.9956831199904,2
645.8962802833437,860.6420796064713,3
974.2116959984592,409.679852322679,2
-128.56845570376603,-272.4280362234992,0
48.81847166256422,-358.5962859425722,0
327.6339183661933,261.4122099312158,1
1331.8397679295826,963.0218274539108,3
3072.689880578183,5251.624167743997,4
1181.830433003946,128.54895821703968,2
644.3473101133868,330.6124463097408,2
331.54420385172665,981.8730785654909,3
68.69198174288582,-402.6661362000994,0
-434.05386138905806,-314.8802296631083,0
208.6480201357052,100.45085247613558,0
1149.2655950863339,252.18373664449052,2
-302.6065948352881,202.36678755880305,0
-197.61080069980093,-135.679725986378,0
425.18090816084464,579.0297234670044,3
718.9561187082528,101.80503764352086,2
900.9397086565494,530.5693477526981,3
269.7775615810222,-255.94789400451947,1
1005.3924185494642,661.9045365838207,3
873.3365520488319,423.16794139505384,3
30.805746662048094,116.75296327529055,0
-713.4951286085617,-602.7330873183652,1
549.7907109497687,337.4346672522327,3
-97.44496465649596,362.8007028409018,0
806.735973953302,20.474322369725655,3
1045.37444653561,832.7450469046456,3
998.1200594675594,79.62337615936559,2
220.89999328766714,-92.82514851242414,2
1401.3257263490573,-291.7075638863813,2
-340.9917431960177,-373.5540986468556,0
233.33954546230922,364.5547220777699,0
475.6953931649166,714.8188189217423,3
-580.6663517591858,-560.8411943977027,1
878.2150358224272,1078.8902655687534,3
-133.14423000486897,339.8321308680302,0
389.7176032412253,480.7800140533217,3
560.4852440792243,654.0416241825134,3
394.9545673602112,-142.5626658282522,0
680.3651343583563,-173.71099439814554,2
637.3219087753597,787.0339988092719,3
1066.823745046741,294.8102166489808,2
-161.58892649817585,282.34361988047027,1
566.206752855695,409.0605026429266,3
315.9196461475767,-174.5958357837562,1
-164.6893847955974,133.37969169875493,0
264.1798832525146,402.39200901737973,1
-123.09642573864,19.691757428852974,0
393.4205562215723,864.3956257600198,3
-161.58327871855383,-77.61577453665143,0
-383.782393020163,173.4563704123899,0
402.1701416691752,-515.5292375533157,0
-701.5725756534792,589.2605726335648,0
539.3953881285977,-124.740677523307,0
338.0199235024641,-65.0608120205346,0
796.7934475550684,338.2836438442975,2
-468.5214490269023,185.41727080803028,0
263.2864654152313,347.0527011003907,0
626.1714612461245,1165.4010643046952,3
345.0122535842682,-190.24863765765062,0
-0.7761758262267406,471.18165960518957,0
2677.1507270182333,4963.537584717426,4
392.9702716909159,-393.4146082569406,0
-339.2416845425144,-105.77380149785893,1
-26.41786872780291,-99.28699779745557,0
-445.2627363788869,-502.19695090689584,0
650.1105125292696,967.9972349008938,3
894.6386930242272,879.9254177619689,3
1019.3891948193892,394.77732194580966,3
158.10591785106885,607.2881193795798,3
610.2843959351711,1251.675871954615,3
710.4403453454485,715.8571506275589,3
1144.5428694892055,294.286535969165,2
-507.54509197342713,-148.70570968724792,1
91.27375976095087,147.4844466308277,0
554.9159797109044,443.4767036896072,3
1144.065311353064,463.868389046176,3
208.64116664353725,-44.88609381665671,0
747.8174513659534,-98.9290330712115,2
-14.512798723015855,-289.04934312596123,0
302.9502903120187,631.5640357070815,3
-246.46102580097744,437.1272656587785,0
525.6524724288827,786.5831702684799,3
375.7454542999587,-67.88175521814904,0
903.5416360473197,491.00495763576066,3
895.1407856203092,1578.431931554061,3
745.7469435159081,870.4596768812617,3
1147.1799160854432,273.94735653744164,2
973.2643179329211,693.4926625821012,3
841.662285718813,1356.4111897118974,3
920.5228386590122,1051.0704662143212,3
141.92170390867537,172.02165432189676,1
810.2683830073202,208.44483559398873,3
-0.9401262128110801,-270.23440452969453,1
-9.043910232821048,305.0122174145593,0
480.68216321543446,619.5304340557905,3
-173.483449602275,-164.17994069872864,0
3037.5931702799753,4922.958850728691,4
977.3749723923468,-56.480442010735004,2
126.0264872090887,-210.13573087371927,0
920.8092449001549,21.53344002336027,2
-3.3967111614621857,91.63697184065981,0
-394.0971371191435,45.49863428162066,0
390.2938495425608,139.2292831681522,0
353.7971980259329,768.7620217865584,3
1122.4717728827782,197.33665150021523,2
303.22870258821416,167.97759078412625,1
119.74682483528218,78.94012165106668,0
983.6711180062782,433.0582547425144,2
-21.563892396469022,-431.55106969128605,0
2728.9523915984514,5705.836923224307,4
-364.2626188541183,-158.88223884602363,0
1163.849006837275,-417.2658339976415,2
956.9747915669979,735.1875667460854,3
-120.97655142140704,193.48166355100554,0
-172.15776251088184,-143.63378215268952,0
977.6538354270364,798.6459430583441,2
-110.77849422797152,38.61593055869346,0
225.78346427905484,957.570665742897,3
-389.3064277138445,257.89284691015473,1
1022.2340140445627,-68.84863160962311,3
